model,dataset,N,strategy,regret_kind,n_problems,regret_mean,regret_median,regret_std,regret_p25,regret_p75,regret_p90,regret_p95,regret_p99,regret_max,regret_gt_10pp,regret_gt_20pp
Qwen2.5-3B,aime2025,128,equal_mix,R2,26,0.0033372218545598153,0.0,0.011451413349313712,0.0,0.0,0.0022333335280418395,0.029529176419973407,0.0439341712930089,0.04595111298803299,0.0,0.0
Qwen2.5-3B,aime2025,128,random_T,R1,26,0.02736595521799665,0.0,0.07677985779285038,0.0,0.0011258334125159308,0.053451030515134335,0.22147500095888972,0.2871413081884384,0.2912995219230652,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,128,random_T,R2,26,0.022696750428971988,0.0,0.07654750806354366,0.0,0.0,0.025506029138341546,0.21665050461888313,0.283866286277771,0.2871994972229004,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,256,T0.1,R1,26,0.0036797708183327745,0.0,0.011450043207470631,0.0,0.0,0.009541667299345136,0.017149999737739563,0.04633053718134761,0.055440716445446014,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.1,R2,26,0.0019925879516029875,0.0,0.010972215171581588,0.0,0.0,0.0001500000071246177,0.0015749806916574016,0.042080530896782875,0.055440716445446014,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.2,R1,26,0.003278232690997986,0.0,0.011305863855427234,0.0,0.0,0.005825000391268986,0.017149999737739563,0.04568803719303105,0.05458404979435727,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.2,R2,26,0.001591049824268199,0.0,0.010955211790366362,0.0,0.0,0.0,0.0,0.04093803734576795,0.05458404979435727,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.3,R1,26,0.0033515660446797623,0.0,0.010764594474180546,0.0,0.0,0.00820833386387676,0.017149999737739563,0.04350553738186136,0.051674050046131015,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.3,R2,26,0.0016643831779499752,0.0,0.010274238445194166,0.0,0.0,0.0,0.0,0.03875553753459826,0.051674050046131015,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.4,R1,26,0.0019288737394862648,0.0,0.005078589812849452,0.0,0.0,0.008033334044739604,0.014175537507981062,0.01800851197913289,0.01899999938905239,0.0,0.0
