model,dataset,N,T_star,n_problems
Llama-3.2-3B,mathfull,1,0.5,263
Llama-3.2-3B,mathfull,1,0.6,262
Llama-3.2-3B,mathfull,1,0.7,277
Llama-3.2-3B,mathfull,1,0.8,295
Llama-3.2-3B,mathfull,1,0.9,274
Llama-3.2-3B,mathfull,1,1.0,270
Llama-3.2-3B,mathfull,1,1.1,85
Llama-3.2-3B,mathfull,1,1.2,33
Llama-3.2-3B,mathfull,2,0.1,2148
Llama-3.2-3B,mathfull,2,0.2,364
Llama-3.2-3B,mathfull,2,0.3,277
Llama-3.2-3B,mathfull,2,0.4,258
Llama-3.2-3B,mathfull,2,0.5,279
Llama-3.2-3B,mathfull,2,0.6,236
Llama-3.2-3B,mathfull,2,0.7,292
Llama-3.2-3B,mathfull,2,0.8,319
Llama-3.2-3B,mathfull,2,0.9,330
Llama-3.2-3B,mathfull,2,1.0,279
Llama-3.2-3B,mathfull,2,1.1,107
Llama-3.2-3B,mathfull,2,1.2,26
Llama-3.2-3B,mathfull,4,0.1,2057
Llama-3.2-3B,mathfull,4,0.2,327
Llama-3.2-3B,mathfull,4,0.3,265
Llama-3.2-3B,mathfull,4,0.4,264
Llama-3.2-3B,mathfull,4,0.5,275
Llama-3.2-3B,mathfull,4,0.6,251
Llama-3.2-3B,mathfull,4,0.7,275
Llama-3.2-3B,mathfull,4,0.8,296
Llama-3.2-3B,mathfull,4,0.9,338
Llama-3.2-3B,mathfull,4,1.0,376
Llama-3.2-3B,mathfull,4,1.1,145
Llama-3.2-3B,mathfull,4,1.2,46
Llama-3.2-3B,mathfull,8,0.1,2079
Llama-3.2-3B,mathfull,8,0.2,310
Llama-3.2-3B,mathfull,8,0.3,258
Llama-3.2-3B,mathfull,8,0.4,221
Llama-3.2-3B,mathfull,8,0.5,256
Llama-3.2-3B,mathfull,8,0.6,232
Llama-3.2-3B,mathfull,8,0.7,262
Llama-3.2-3B,mathfull,8,0.8,304
Llama-3.2-3B,mathfull,8,0.9,335
Llama-3.2-3B,mathfull,8,1.0,437
Llama-3.2-3B,mathfull,8,1.1,176
Llama-3.2-3B,mathfull,8,1.2,45
Llama-3.2-3B,mathfull,16,0.1,2208
Llama-3.2-3B,mathfull,16,0.2,290
Llama-3.2-3B,mathfull,16,0.3,244
Llama-3.2-3B,mathfull,16,0.4,187
Llama-3.2-3B,mathfull,16,0.5,227
Llama-3.2-3B,mathfull,16,0.6,214
Llama-3.2-3B,mathfull,16,0.7,246
Llama-3.2-3B,mathfull,16,0.8,294
Llama-3.2-3B,mathfull,16,0.9,339
Llama-3.2-3B,mathfull,16,1.0,440
Llama-3.2-3B,mathfull,16,1.1,175
Llama-3.2-3B,mathfull,16,1.2,51
Llama-3.2-3B,mathfull,32,0.1,2495
Llama-3.2-3B,mathfull,32,0.2,262
Llama-3.2-3B,mathfull,32,0.3,229
Llama-3.2-3B,mathfull,32,0.4,159
Llama-3.2-3B,mathfull,32,0.5,197
Llama-3.2-3B,mathfull,32,0.6,160
Llama-3.2-3B,mathfull,32,0.7,213
Llama-3.2-3B,mathfull,32,0.8,278
Llama-3.2-3B,mathfull,32,0.9,326
Llama-3.2-3B,mathfull,32,1.0,393
Llama-3.2-3B,mathfull,32,1.1,159
Llama-3.2-3B,mathfull,32,1.2,44
Llama-3.2-3B,mathfull,64,0.1,2877
Llama-3.2-3B,mathfull,64,0.2,236
Llama-3.2-3B,mathfull,64,0.3,212
Llama-3.2-3B,mathfull,64,0.4,129
Llama-3.2-3B,mathfull,64,0.5,184
Llama-3.2-3B,mathfull,64,0.6,141
Llama-3.2-3B,mathfull,64,0.7,159
Llama-3.2-3B,mathfull,64,0.8,219
Llama-3.2-3B,mathfull,64,0.9,255
Llama-3.2-3B,mathfull,64,1.0,338
Llama-3.2-3B,mathfull,64,1.1,132
Llama-3.2-3B,mathfull,64,1.2,33
Llama-3.2-3B,mathfull,128,0.1,3251
Llama-3.2-3B,mathfull,128,0.2,233
Llama-3.2-3B,mathfull,128,0.3,189
Llama-3.2-3B,mathfull,128,0.4,115
Llama-3.2-3B,mathfull,128,0.5,133
Llama-3.2-3B,mathfull,128,0.6,107
Llama-3.2-3B,mathfull,128,0.7,126
Llama-3.2-3B,mathfull,128,0.8,166
Llama-3.2-3B,mathfull,128,0.9,219
Llama-3.2-3B,mathfull,128,1.0,242
Llama-3.2-3B,mathfull,128,1.1,111
Llama-3.2-3B,mathfull,128,1.2,23
Llama-3.2-3B,mathfull,256,0.1,3528
Llama-3.2-3B,mathfull,256,0.2,241
Llama-3.2-3B,mathfull,256,0.3,154
Llama-3.2-3B,mathfull,256,0.4,101
Llama-3.2-3B,mathfull,256,0.5,104
Llama-3.2-3B,mathfull,256,0.6,98
Llama-3.2-3B,mathfull,256,0.7,99
Llama-3.2-3B,mathfull,256,0.8,140
Llama-3.2-3B,mathfull,256,0.9,158
Llama-3.2-3B,mathfull,256,1.0,183
Llama-3.2-3B,mathfull,256,1.1,86
Llama-3.2-3B,mathfull,256,1.2,23
Llama-3.2-3B,mathfull,512,0.1,3733
Llama-3.2-3B,mathfull,512,0.2,234
Llama-3.2-3B,mathfull,512,0.3,151
Llama-3.2-3B,mathfull,512,0.4,93
Llama-3.2-3B,mathfull,512,0.5,92
Llama-3.2-3B,mathfull,512,0.6,82
Llama-3.2-3B,mathfull,512,0.7,79
Llama-3.2-3B,mathfull,512,0.8,114
Llama-3.2-3B,mathfull,512,0.9,114
Llama-3.2-3B,mathfull,512,1.0,129
Llama-3.2-3B,mathfull,512,1.1,72
Llama-3.2-3B,mathfull,512,1.2,22
Llama-3.2-3B,mathfull,1024,0.1,3904
Llama-3.2-3B,mathfull,1024,0.2,223
Llama-3.2-3B,mathfull,1024,0.3,132
Llama-3.2-3B,mathfull,1024,0.4,95
Llama-3.2-3B,mathfull,1024,0.5,74
Llama-3.2-3B,mathfull,1024,0.6,67
Llama-3.2-3B,mathfull,1024,0.7,73
Llama-3.2-3B,mathfull,1024,0.8,86
Llama-3.2-3B,mathfull,1024,0.9,87
Llama-3.2-3B,mathfull,1024,1.0,100
Llama-3.2-3B,mathfull,1024,1.1,59
Llama-3.2-3B,mathfull,1024,1.2,15
Llama-3.2-3B,mathfull,1536,0.1,3994
Llama-3.2-3B,mathfull,1536,0.2,220
Llama-3.2-3B,mathfull,1536,0.3,124
Llama-3.2-3B,mathfull,1536,0.4,86
