model,dataset,N,T_star,n_problems
Qwen2.5-3B,aime2024,1024,0.5,1
Qwen2.5-3B,aime2024,1024,0.9,1
Qwen2.5-3B,aime2024,1536,0.1,23
Qwen2.5-3B,aime2024,1536,0.2,2
Qwen2.5-3B,aime2024,1536,0.5,1
Qwen2.5-3B,aime2024,1536,0.9,1
Qwen2.5-3B,aime2024,2048,0.1,23
Qwen2.5-3B,aime2024,2048,0.2,2
Qwen2.5-3B,aime2024,2048,0.5,1
Qwen2.5-3B,aime2024,2048,0.9,1
Qwen2.5-3B,aime2025,1,0.1,4
Qwen2.5-3B,aime2025,1,0.2,1
Qwen2.5-3B,aime2025,1,0.3,2
Qwen2.5-3B,aime2025,1,0.4,3
Qwen2.5-3B,aime2025,1,0.5,1
Qwen2.5-3B,aime2025,1,0.6,1
Qwen2.5-3B,aime2025,1,0.7,5
Qwen2.5-3B,aime2025,1,0.8,3
Qwen2.5-3B,aime2025,1,0.9,2
Qwen2.5-3B,aime2025,1,1.0,1
Qwen2.5-3B,aime2025,1,1.1,2
Qwen2.5-3B,aime2025,1,1.2,1
Qwen2.5-3B,aime2025,2,0.1,4
Qwen2.5-3B,aime2025,2,0.2,2
Qwen2.5-3B,aime2025,2,0.4,3
Qwen2.5-3B,aime2025,2,0.5,2
Qwen2.5-3B,aime2025,2,0.6,1
Qwen2.5-3B,aime2025,2,0.7,4
Qwen2.5-3B,aime2025,2,0.8,3
Qwen2.5-3B,aime2025,2,0.9,2
Qwen2.5-3B,aime2025,2,1.0,2
Qwen2.5-3B,aime2025,2,1.1,2
Qwen2.5-3B,aime2025,2,1.2,1
Qwen2.5-3B,aime2025,4,0.1,4
Qwen2.5-3B,aime2025,4,0.2,2
Qwen2.5-3B,aime2025,4,0.4,4
Qwen2.5-3B,aime2025,4,0.5,2
Qwen2.5-3B,aime2025,4,0.7,4
Qwen2.5-3B,aime2025,4,0.8,1
Qwen2.5-3B,aime2025,4,0.9,3
Qwen2.5-3B,aime2025,4,1.0,2
Qwen2.5-3B,aime2025,4,1.1,2
Qwen2.5-3B,aime2025,4,1.2,2
Qwen2.5-3B,aime2025,8,0.1,3
Qwen2.5-3B,aime2025,8,0.2,1
Qwen2.5-3B,aime2025,8,0.4,4
Qwen2.5-3B,aime2025,8,0.5,2
Qwen2.5-3B,aime2025,8,0.6,1
Qwen2.5-3B,aime2025,8,0.7,2
Qwen2.5-3B,aime2025,8,0.8,2
Qwen2.5-3B,aime2025,8,0.9,1
Qwen2.5-3B,aime2025,8,1.0,2
Qwen2.5-3B,aime2025,8,1.1,6
Qwen2.5-3B,aime2025,8,1.2,2
Qwen2.5-3B,aime2025,16,0.1,3
Qwen2.5-3B,aime2025,16,0.2,1
Qwen2.5-3B,aime2025,16,0.3,1
Qwen2.5-3B,aime2025,16,0.4,3
Qwen2.5-3B,aime2025,16,0.6,2
Qwen2.5-3B,aime2025,16,0.7,3
Qwen2.5-3B,aime2025,16,0.8,1
Qwen2.5-3B,aime2025,16,1.0,4
Qwen2.5-3B,aime2025,16,1.1,5
Qwen2.5-3B,aime2025,16,1.2,3
Qwen2.5-3B,aime2025,32,0.1,7
Qwen2.5-3B,aime2025,32,0.2,1
Qwen2.5-3B,aime2025,32,0.3,1
Qwen2.5-3B,aime2025,32,0.4,1
Qwen2.5-3B,aime2025,32,0.6,2
Qwen2.5-3B,aime2025,32,0.7,1
Qwen2.5-3B,aime2025,32,0.8,2
Qwen2.5-3B,aime2025,32,1.0,3
Qwen2.5-3B,aime2025,32,1.1,6
Qwen2.5-3B,aime2025,32,1.2,2
Qwen2.5-3B,aime2025,64,0.1,12
Qwen2.5-3B,aime2025,64,0.2,1
Qwen2.5-3B,aime2025,64,0.3,1
Qwen2.5-3B,aime2025,64,0.4,1
Qwen2.5-3B,aime2025,64,0.5,1
Qwen2.5-3B,aime2025,64,0.6,1
Qwen2.5-3B,aime2025,64,0.8,1
Qwen2.5-3B,aime2025,64,1.0,2
Qwen2.5-3B,aime2025,64,1.1,4
Qwen2.5-3B,aime2025,64,1.2,2
Qwen2.5-3B,aime2025,128,0.1,16
Qwen2.5-3B,aime2025,128,0.2,1
Qwen2.5-3B,aime2025,128,0.3,1
Qwen2.5-3B,aime2025,128,0.4,1
Qwen2.5-3B,aime2025,128,0.5,1
Qwen2.5-3B,aime2025,128,0.6,1
Qwen2.5-3B,aime2025,128,1.0,2
Qwen2.5-3B,aime2025,128,1.1,3
Qwen2.5-3B,aime2025,256,0.1,20
Qwen2.5-3B,aime2025,256,0.2,2
Qwen2.5-3B,aime2025,256,0.6,1
Qwen2.5-3B,aime2025,256,0.9,1
Qwen2.5-3B,aime2025,256,1.0,1
Qwen2.5-3B,aime2025,256,1.2,1
Qwen2.5-3B,aime2025,512,0.1,21
Qwen2.5-3B,aime2025,512,0.2,1
Qwen2.5-3B,aime2025,512,0.3,1
Qwen2.5-3B,aime2025,512,0.6,1
Qwen2.5-3B,aime2025,512,1.0,1
Qwen2.5-3B,aime2025,512,1.1,1
Qwen2.5-3B,aime2025,1024,0.1,24
Qwen2.5-3B,aime2025,1024,0.6,1
Qwen2.5-3B,aime2025,1024,1.0,1
Qwen2.5-3B,aime2025,1536,0.1,24
Qwen2.5-3B,aime2025,1536,0.6,1
Qwen2.5-3B,aime2025,1536,1.0,1
Qwen2.5-3B,aime2025,2048,0.1,24
Qwen2.5-3B,aime2025,2048,0.6,1
Qwen2.5-3B,aime2025,2048,1.0,1
Qwen2.5-3B,aime2026,1,0.1,2
Qwen2.5-3B,aime2026,1,0.2,2
Qwen2.5-3B,aime2026,1,0.3,4
Qwen2.5-3B,aime2026,1,0.4,1
Qwen2.5-3B,aime2026,1,0.5,2
Qwen2.5-3B,aime2026,1,0.6,2
Qwen2.5-3B,aime2026,1,0.7,4
Qwen2.5-3B,aime2026,1,0.8,2
Qwen2.5-3B,aime2026,1,0.9,2
Qwen2.5-3B,aime2026,1,1.0,2
Qwen2.5-3B,aime2026,1,1.1,2
Qwen2.5-3B,aime2026,2,0.1,2
Qwen2.5-3B,aime2026,2,0.2,4
Qwen2.5-3B,aime2026,2,0.3,5
Qwen2.5-3B,aime2026,2,0.5,1
Qwen2.5-3B,aime2026,2,0.6,1
Qwen2.5-3B,aime2026,2,0.7,2
Qwen2.5-3B,aime2026,2,0.8,2
Qwen2.5-3B,aime2026,2,0.9,2
Qwen2.5-3B,aime2026,2,1.0,3
Qwen2.5-3B,aime2026,2,1.1,2
Qwen2.5-3B,aime2026,2,1.2,1
Qwen2.5-3B,aime2026,4,0.1,3
Qwen2.5-3B,aime2026,4,0.2,2
Qwen2.5-3B,aime2026,4,0.3,5
Qwen2.5-3B,aime2026,4,0.4,2
Qwen2.5-3B,aime2026,4,0.5,1
Qwen2.5-3B,aime2026,4,0.6,1
Qwen2.5-3B,aime2026,4,0.7,1
Qwen2.5-3B,aime2026,4,0.8,1
Qwen2.5-3B,aime2026,4,0.9,1
Qwen2.5-3B,aime2026,4,1.0,4
Qwen2.5-3B,aime2026,4,1.1,3
Qwen2.5-3B,aime2026,4,1.2,1
Qwen2.5-3B,aime2026,8,0.1,2
Qwen2.5-3B,aime2026,8,0.2,1
Qwen2.5-3B,aime2026,8,0.3,3
Qwen2.5-3B,aime2026,8,0.4,1
Qwen2.5-3B,aime2026,8,0.6,1
Qwen2.5-3B,aime2026,8,0.7,3
Qwen2.5-3B,aime2026,8,0.8,2
Qwen2.5-3B,aime2026,8,1.0,7
Qwen2.5-3B,aime2026,8,1.1,4
Qwen2.5-3B,aime2026,8,1.2,1
Qwen2.5-3B,aime2026,16,0.1,2
Qwen2.5-3B,aime2026,16,0.2,1
Qwen2.5-3B,aime2026,16,0.3,4
Qwen2.5-3B,aime2026,16,0.6,2
Qwen2.5-3B,aime2026,16,0.7,2
Qwen2.5-3B,aime2026,16,0.8,1
Qwen2.5-3B,aime2026,16,0.9,1
Qwen2.5-3B,aime2026,16,1.0,6
Qwen2.5-3B,aime2026,16,1.1,5
Qwen2.5-3B,aime2026,16,1.2,1
Qwen2.5-3B,aime2026,32,0.1,12
Qwen2.5-3B,aime2026,32,0.2,1
Qwen2.5-3B,aime2026,32,0.3,3
Qwen2.5-3B,aime2026,32,0.9,1
Qwen2.5-3B,aime2026,32,1.0,3
Qwen2.5-3B,aime2026,32,1.1,5
Qwen2.5-3B,aime2026,64,0.1,15
Qwen2.5-3B,aime2026,64,0.2,1
Qwen2.5-3B,aime2026,64,0.3,2
Qwen2.5-3B,aime2026,64,0.6,1
Qwen2.5-3B,aime2026,64,0.7,1
Qwen2.5-3B,aime2026,64,1.0,2
Qwen2.5-3B,aime2026,64,1.1,3
Qwen2.5-3B,aime2026,128,0.1,18
Qwen2.5-3B,aime2026,128,0.2,1
Qwen2.5-3B,aime2026,128,0.3,2
Qwen2.5-3B,aime2026,128,1.0,3
Qwen2.5-3B,aime2026,128,1.1,1
Qwen2.5-3B,aime2026,256,0.1,21
Qwen2.5-3B,aime2026,256,0.2,1
Qwen2.5-3B,aime2026,256,0.4,1
Qwen2.5-3B,aime2026,256,1.0,2
Qwen2.5-3B,aime2026,512,0.1,22
Qwen2.5-3B,aime2026,512,0.2,1
Qwen2.5-3B,aime2026,512,0.4,1
Qwen2.5-3B,aime2026,512,1.0,1
Qwen2.5-3B,aime2026,1024,0.1,23
Qwen2.5-3B,aime2026,1024,0.2,1
Qwen2.5-3B,aime2026,1024,0.4,1
Qwen2.5-3B,aime2026,1536,0.1,24
Qwen2.5-3B,aime2026,1536,0.2,1
Qwen2.5-3B,aime2026,2048,0.1,24
Qwen2.5-3B,aime2026,2048,0.2,1
Qwen2.5-3B,gsm8kfull,1,0.1,1029
Qwen2.5-3B,gsm8kfull,1,0.2,34
Qwen2.5-3B,gsm8kfull,1,0.3,40
Qwen2.5-3B,gsm8kfull,1,0.4,16
Qwen2.5-3B,gsm8kfull,1,0.5,23
Qwen2.5-3B,gsm8kfull,1,0.6,25
Qwen2.5-3B,gsm8kfull,1,0.7,20
Qwen2.5-3B,gsm8kfull,1,0.8,17
Qwen2.5-3B,gsm8kfull,1,0.9,27
Qwen2.5-3B,gsm8kfull,1,1.0,20
Qwen2.5-3B,gsm8kfull,1,1.1,26
Qwen2.5-3B,gsm8kfull,1,1.2,41
Qwen2.5-3B,gsm8kfull,2,0.1,1029
Qwen2.5-3B,gsm8kfull,2,0.2,28
Qwen2.5-3B,gsm8kfull,2,0.3,32
Qwen2.5-3B,gsm8kfull,2,0.4,20
Qwen2.5-3B,gsm8kfull,2,0.5,28
Qwen2.5-3B,gsm8kfull,2,0.6,22
Qwen2.5-3B,gsm8kfull,2,0.7,20
Qwen2.5-3B,gsm8kfull,2,0.8,20
Qwen2.5-3B,gsm8kfull,2,0.9,29
Qwen2.5-3B,gsm8kfull,2,1.0,22
Qwen2.5-3B,gsm8kfull,2,1.1,26
Qwen2.5-3B,gsm8kfull,2,1.2,42
Qwen2.5-3B,gsm8kfull,4,0.1,1011
Qwen2.5-3B,gsm8kfull,4,0.2,32
Qwen2.5-3B,gsm8kfull,4,0.3,28
Qwen2.5-3B,gsm8kfull,4,0.4,26
Qwen2.5-3B,gsm8kfull,4,0.5,15
Qwen2.5-3B,gsm8kfull,4,0.6,24
Qwen2.5-3B,gsm8kfull,4,0.7,16
Qwen2.5-3B,gsm8kfull,4,0.8,23
Qwen2.5-3B,gsm8kfull,4,0.9,26
Qwen2.5-3B,gsm8kfull,4,1.0,22
Qwen2.5-3B,gsm8kfull,4,1.1,35
Qwen2.5-3B,gsm8kfull,4,1.2,60
Qwen2.5-3B,gsm8kfull,8,0.1,1027
Qwen2.5-3B,gsm8kfull,8,0.2,32
Qwen2.5-3B,gsm8kfull,8,0.3,24
Qwen2.5-3B,gsm8kfull,8,0.4,24
Qwen2.5-3B,gsm8kfull,8,0.5,13
Qwen2.5-3B,gsm8kfull,8,0.6,19
Qwen2.5-3B,gsm8kfull,8,0.7,24
Qwen2.5-3B,gsm8kfull,8,0.8,20
Qwen2.5-3B,gsm8kfull,8,0.9,14
Qwen2.5-3B,gsm8kfull,8,1.0,23
Qwen2.5-3B,gsm8kfull,8,1.1,31
Qwen2.5-3B,gsm8kfull,8,1.2,67
Qwen2.5-3B,gsm8kfull,16,0.1,1068
Qwen2.5-3B,gsm8kfull,16,0.2,25
Qwen2.5-3B,gsm8kfull,16,0.3,21
Qwen2.5-3B,gsm8kfull,16,0.4,20
Qwen2.5-3B,gsm8kfull,16,0.5,12
Qwen2.5-3B,gsm8kfull,16,0.6,14
Qwen2.5-3B,gsm8kfull,16,0.7,17
Qwen2.5-3B,gsm8kfull,16,0.8,12
Qwen2.5-3B,gsm8kfull,16,0.9,13
Qwen2.5-3B,gsm8kfull,16,1.0,24
Qwen2.5-3B,gsm8kfull,16,1.1,24
Qwen2.5-3B,gsm8kfull,16,1.2,68
Qwen2.5-3B,gsm8kfull,32,0.1,1096
Qwen2.5-3B,gsm8kfull,32,0.2,31
Qwen2.5-3B,gsm8kfull,32,0.3,19
Qwen2.5-3B,gsm8kfull,32,0.4,15
Qwen2.5-3B,gsm8kfull,32,0.5,14
Qwen2.5-3B,gsm8kfull,32,0.6,6
Qwen2.5-3B,gsm8kfull,32,0.7,12
Qwen2.5-3B,gsm8kfull,32,0.8,12
Qwen2.5-3B,gsm8kfull,32,0.9,11
Qwen2.5-3B,gsm8kfull,32,1.0,19
Qwen2.5-3B,gsm8kfull,32,1.1,23
Qwen2.5-3B,gsm8kfull,32,1.2,60
Qwen2.5-3B,gsm8kfull,64,0.1,1138
Qwen2.5-3B,gsm8kfull,64,0.2,26
Qwen2.5-3B,gsm8kfull,64,0.3,15
Qwen2.5-3B,gsm8kfull,64,0.4,15
Qwen2.5-3B,gsm8kfull,64,0.5,15
Qwen2.5-3B,gsm8kfull,64,0.6,7
Qwen2.5-3B,gsm8kfull,64,0.7,10
Qwen2.5-3B,gsm8kfull,64,0.8,11
Qwen2.5-3B,gsm8kfull,64,0.9,12
Qwen2.5-3B,gsm8kfull,64,1.0,12
Qwen2.5-3B,gsm8kfull,64,1.1,19
Qwen2.5-3B,gsm8kfull,64,1.2,38
Qwen2.5-3B,gsm8kfull,128,0.1,1162
Qwen2.5-3B,gsm8kfull,128,0.2,28
Qwen2.5-3B,gsm8kfull,128,0.3,9
Qwen2.5-3B,gsm8kfull,128,0.4,17
Qwen2.5-3B,gsm8kfull,128,0.5,14
Qwen2.5-3B,gsm8kfull,128,0.6,8
Qwen2.5-3B,gsm8kfull,128,0.7,10
Qwen2.5-3B,gsm8kfull,128,0.8,10
Qwen2.5-3B,gsm8kfull,128,0.9,9
Qwen2.5-3B,gsm8kfull,128,1.0,9
Qwen2.5-3B,gsm8kfull,128,1.1,11
Qwen2.5-3B,gsm8kfull,128,1.2,31
Qwen2.5-3B,gsm8kfull,256,0.1,1176
Qwen2.5-3B,gsm8kfull,256,0.2,36
Qwen2.5-3B,gsm8kfull,256,0.3,7
Qwen2.5-3B,gsm8kfull,256,0.4,19
Qwen2.5-3B,gsm8kfull,256,0.5,13
Qwen2.5-3B,gsm8kfull,256,0.6,5
Qwen2.5-3B,gsm8kfull,256,0.7,11
Qwen2.5-3B,gsm8kfull,256,0.8,6
Qwen2.5-3B,gsm8kfull,256,0.9,5
Qwen2.5-3B,gsm8kfull,256,1.0,9
Qwen2.5-3B,gsm8kfull,256,1.1,9
Qwen2.5-3B,gsm8kfull,256,1.2,22
Qwen2.5-3B,gsm8kfull,512,0.1,1192
Qwen2.5-3B,gsm8kfull,512,0.2,26
Qwen2.5-3B,gsm8kfull,512,0.3,10
Qwen2.5-3B,gsm8kfull,512,0.4,19
Qwen2.5-3B,gsm8kfull,512,0.5,13
Qwen2.5-3B,gsm8kfull,512,0.6,6
Qwen2.5-3B,gsm8kfull,512,0.7,9
Qwen2.5-3B,gsm8kfull,512,0.8,6
Qwen2.5-3B,gsm8kfull,512,0.9,4
Qwen2.5-3B,gsm8kfull,512,1.0,9
Qwen2.5-3B,gsm8kfull,512,1.1,6
Qwen2.5-3B,gsm8kfull,512,1.2,18
Qwen2.5-3B,gsm8kfull,1024,0.1,1205
Qwen2.5-3B,gsm8kfull,1024,0.2,23
Qwen2.5-3B,gsm8kfull,1024,0.3,13
Qwen2.5-3B,gsm8kfull,1024,0.4,17
Qwen2.5-3B,gsm8kfull,1024,0.5,13
Qwen2.5-3B,gsm8kfull,1024,0.6,4
Qwen2.5-3B,gsm8kfull,1024,0.7,10
Qwen2.5-3B,gsm8kfull,1024,0.8,4
Qwen2.5-3B,gsm8kfull,1024,0.9,3
Qwen2.5-3B,gsm8kfull,1024,1.0,8
Qwen2.5-3B,gsm8kfull,1024,1.1,4
Qwen2.5-3B,gsm8kfull,1024,1.2,14
Qwen2.5-3B,gsm8kfull,1536,0.1,1208
Qwen2.5-3B,gsm8kfull,1536,0.2,22
Qwen2.5-3B,gsm8kfull,1536,0.3,16
Qwen2.5-3B,gsm8kfull,1536,0.4,14
Qwen2.5-3B,gsm8kfull,1536,0.5,11
Qwen2.5-3B,gsm8kfull,1536,0.6,8
Qwen2.5-3B,gsm8kfull,1536,0.7,9
Qwen2.5-3B,gsm8kfull,1536,0.8,5
Qwen2.5-3B,gsm8kfull,1536,0.9,1
Qwen2.5-3B,gsm8kfull,1536,1.0,5
Qwen2.5-3B,gsm8kfull,1536,1.1,7
Qwen2.5-3B,gsm8kfull,1536,1.2,12
Qwen2.5-3B,gsm8kfull,2048,0.1,1211
Qwen2.5-3B,gsm8kfull,2048,0.2,23
Qwen2.5-3B,gsm8kfull,2048,0.3,16
Qwen2.5-3B,gsm8kfull,2048,0.4,14
Qwen2.5-3B,gsm8kfull,2048,0.5,12
Qwen2.5-3B,gsm8kfull,2048,0.6,10
Qwen2.5-3B,gsm8kfull,2048,0.7,4
Qwen2.5-3B,gsm8kfull,2048,0.8,4
Qwen2.5-3B,gsm8kfull,2048,0.9,3
Qwen2.5-3B,gsm8kfull,2048,1.0,5
Qwen2.5-3B,gsm8kfull,2048,1.1,6
Qwen2.5-3B,gsm8kfull,2048,1.2,10
Qwen2.5-3B,math1k,1,0.1,425
Qwen2.5-3B,math1k,1,0.2,96
Qwen2.5-3B,math1k,1,0.3,76
Qwen2.5-3B,math1k,1,0.4,81
Qwen2.5-3B,math1k,1,0.5,71
Qwen2.5-3B,math1k,1,0.6,59
Qwen2.5-3B,math1k,1,0.7,43
Qwen2.5-3B,math1k,1,0.8,39
Qwen2.5-3B,math1k,1,0.9,37
Qwen2.5-3B,math1k,1,1.0,26
Qwen2.5-3B,math1k,1,1.1,26
Qwen2.5-3B,math1k,1,1.2,21
Qwen2.5-3B,math1k,2,0.1,412
Qwen2.5-3B,math1k,2,0.2,97
Qwen2.5-3B,math1k,2,0.3,76
Qwen2.5-3B,math1k,2,0.4,78
Qwen2.5-3B,math1k,2,0.5,69
Qwen2.5-3B,math1k,2,0.6,59
Qwen2.5-3B,math1k,2,0.7,47
Qwen2.5-3B,math1k,2,0.8,44
Qwen2.5-3B,math1k,2,0.9,30
Qwen2.5-3B,math1k,2,1.0,35
Qwen2.5-3B,math1k,2,1.1,31
Qwen2.5-3B,math1k,2,1.2,22
Qwen2.5-3B,math1k,4,0.1,382
Qwen2.5-3B,math1k,4,0.2,91
Qwen2.5-3B,math1k,4,0.3,77
Qwen2.5-3B,math1k,4,0.4,65
Qwen2.5-3B,math1k,4,0.5,71
Qwen2.5-3B,math1k,4,0.6,65
Qwen2.5-3B,math1k,4,0.7,52
Qwen2.5-3B,math1k,4,0.8,50
Qwen2.5-3B,math1k,4,0.9,33
Qwen2.5-3B,math1k,4,1.0,34
Qwen2.5-3B,math1k,4,1.1,43
Qwen2.5-3B,math1k,4,1.2,37
Qwen2.5-3B,math1k,8,0.1,370
Qwen2.5-3B,math1k,8,0.2,92
Qwen2.5-3B,math1k,8,0.3,68
Qwen2.5-3B,math1k,8,0.4,65
Qwen2.5-3B,math1k,8,0.5,74
Qwen2.5-3B,math1k,8,0.6,54
Qwen2.5-3B,math1k,8,0.7,52
Qwen2.5-3B,math1k,8,0.8,55
Qwen2.5-3B,math1k,8,0.9,38
Qwen2.5-3B,math1k,8,1.0,36
Qwen2.5-3B,math1k,8,1.1,51
Qwen2.5-3B,math1k,8,1.2,45
Qwen2.5-3B,math1k,16,0.1,385
Qwen2.5-3B,math1k,16,0.2,99
Qwen2.5-3B,math1k,16,0.3,66
Qwen2.5-3B,math1k,16,0.4,72
Qwen2.5-3B,math1k,16,0.5,59
Qwen2.5-3B,math1k,16,0.6,58
Qwen2.5-3B,math1k,16,0.7,54
Qwen2.5-3B,math1k,16,0.8,34
Qwen2.5-3B,math1k,16,0.9,38
Qwen2.5-3B,math1k,16,1.0,31
Qwen2.5-3B,math1k,16,1.1,56
Qwen2.5-3B,math1k,16,1.2,48
Qwen2.5-3B,math1k,32,0.1,465
Qwen2.5-3B,math1k,32,0.2,101
Qwen2.5-3B,math1k,32,0.3,70
Qwen2.5-3B,math1k,32,0.4,58
Qwen2.5-3B,math1k,32,0.5,37
Qwen2.5-3B,math1k,32,0.6,39
Qwen2.5-3B,math1k,32,0.7,39
Qwen2.5-3B,math1k,32,0.8,35
Qwen2.5-3B,math1k,32,0.9,28
Qwen2.5-3B,math1k,32,1.0,34
Qwen2.5-3B,math1k,32,1.1,44
Qwen2.5-3B,math1k,32,1.2,50
Qwen2.5-3B,math1k,64,0.1,537
Qwen2.5-3B,math1k,64,0.2,108
Qwen2.5-3B,math1k,64,0.3,58
Qwen2.5-3B,math1k,64,0.4,38
Qwen2.5-3B,math1k,64,0.5,37
Qwen2.5-3B,math1k,64,0.6,29
Qwen2.5-3B,math1k,64,0.7,29
Qwen2.5-3B,math1k,64,0.8,34
Qwen2.5-3B,math1k,64,0.9,21
Qwen2.5-3B,math1k,64,1.0,23
Qwen2.5-3B,math1k,64,1.1,40
Qwen2.5-3B,math1k,64,1.2,46
Qwen2.5-3B,math1k,128,0.1,621
Qwen2.5-3B,math1k,128,0.2,88
Qwen2.5-3B,math1k,128,0.3,53
Qwen2.5-3B,math1k,128,0.4,32
Qwen2.5-3B,math1k,128,0.5,29
Qwen2.5-3B,math1k,128,0.6,29
Qwen2.5-3B,math1k,128,0.7,17
Qwen2.5-3B,math1k,128,0.8,16
Qwen2.5-3B,math1k,128,0.9,22
Qwen2.5-3B,math1k,128,1.0,24
Qwen2.5-3B,math1k,128,1.1,31
Qwen2.5-3B,math1k,128,1.2,38
Qwen2.5-3B,math1k,256,0.1,678
Qwen2.5-3B,math1k,256,0.2,81
Qwen2.5-3B,math1k,256,0.3,46
Qwen2.5-3B,math1k,256,0.4,29
Qwen2.5-3B,math1k,256,0.5,16
Qwen2.5-3B,math1k,256,0.6,24
Qwen2.5-3B,math1k,256,0.7,17
Qwen2.5-3B,math1k,256,0.8,23
Qwen2.5-3B,math1k,256,0.9,13
Qwen2.5-3B,math1k,256,1.0,16
Qwen2.5-3B,math1k,256,1.1,25
Qwen2.5-3B,math1k,256,1.2,32
Qwen2.5-3B,math1k,512,0.1,714
Qwen2.5-3B,math1k,512,0.2,84
Qwen2.5-3B,math1k,512,0.3,47
Qwen2.5-3B,math1k,512,0.4,22
Qwen2.5-3B,math1k,512,0.5,20
Qwen2.5-3B,math1k,512,0.6,19
Qwen2.5-3B,math1k,512,0.7,15
Qwen2.5-3B,math1k,512,0.8,11
Qwen2.5-3B,math1k,512,0.9,14
Qwen2.5-3B,math1k,512,1.0,10
Qwen2.5-3B,math1k,512,1.1,19
Qwen2.5-3B,math1k,512,1.2,25
Qwen2.5-3B,math1k,1024,0.1,743
Qwen2.5-3B,math1k,1024,0.2,91
Qwen2.5-3B,math1k,1024,0.3,34
Qwen2.5-3B,math1k,1024,0.4,21
Qwen2.5-3B,math1k,1024,0.5,16
Qwen2.5-3B,math1k,1024,0.6,18
Qwen2.5-3B,math1k,1024,0.7,9
Qwen2.5-3B,math1k,1024,0.8,13
Qwen2.5-3B,math1k,1024,0.9,10
Qwen2.5-3B,math1k,1024,1.0,9
Qwen2.5-3B,math1k,1024,1.1,19
Qwen2.5-3B,math1k,1024,1.2,17
Qwen2.5-3B,math1k,1536,0.1,754
Qwen2.5-3B,math1k,1536,0.2,94
Qwen2.5-3B,math1k,1536,0.3,31
Qwen2.5-3B,math1k,1536,0.4,19
Qwen2.5-3B,math1k,1536,0.5,14
Qwen2.5-3B,math1k,1536,0.6,15
Qwen2.5-3B,math1k,1536,0.7,12
Qwen2.5-3B,math1k,1536,0.8,9
Qwen2.5-3B,math1k,1536,0.9,10
Qwen2.5-3B,math1k,1536,1.0,9
Qwen2.5-3B,math1k,1536,1.1,18
Qwen2.5-3B,math1k,1536,1.2,15
Qwen2.5-3B,math1k,2048,0.1,765
Qwen2.5-3B,math1k,2048,0.2,92
Qwen2.5-3B,math1k,2048,0.3,32
Qwen2.5-3B,math1k,2048,0.4,18
Qwen2.5-3B,math1k,2048,0.5,11
Qwen2.5-3B,math1k,2048,0.6,17
Qwen2.5-3B,math1k,2048,0.7,10
Qwen2.5-3B,math1k,2048,0.8,6
Qwen2.5-3B,math1k,2048,0.9,8
Qwen2.5-3B,math1k,2048,1.0,11
Qwen2.5-3B,math1k,2048,1.1,15
Qwen2.5-3B,math1k,2048,1.2,15
Qwen2.5-3B,mathfull,1,0.1,2977
Qwen2.5-3B,mathfull,1,0.2,287
Qwen2.5-3B,mathfull,1,0.3,251
Qwen2.5-3B,mathfull,1,0.4,221
Qwen2.5-3B,mathfull,1,0.5,210
Qwen2.5-3B,mathfull,1,0.6,191
Qwen2.5-3B,mathfull,1,0.7,157
Qwen2.5-3B,mathfull,1,0.8,145
Qwen2.5-3B,mathfull,1,0.9,136
Qwen2.5-3B,mathfull,1,1.0,109
Qwen2.5-3B,mathfull,1,1.1,145
Qwen2.5-3B,mathfull,1,1.2,136
Qwen2.5-3B,mathfull,2,0.1,2955
Qwen2.5-3B,mathfull,2,0.2,274
Qwen2.5-3B,mathfull,2,0.3,261
Qwen2.5-3B,mathfull,2,0.4,214
Qwen2.5-3B,mathfull,2,0.5,216
Qwen2.5-3B,mathfull,2,0.6,174
Qwen2.5-3B,mathfull,2,0.7,162
Qwen2.5-3B,mathfull,2,0.8,138
Qwen2.5-3B,mathfull,2,0.9,138
Qwen2.5-3B,mathfull,2,1.0,135
Qwen2.5-3B,mathfull,2,1.1,142
Qwen2.5-3B,mathfull,2,1.2,156
Qwen2.5-3B,mathfull,4,0.1,2840
Qwen2.5-3B,mathfull,4,0.2,287
Qwen2.5-3B,mathfull,4,0.3,256
Qwen2.5-3B,mathfull,4,0.4,207
Qwen2.5-3B,mathfull,4,0.5,202
Qwen2.5-3B,mathfull,4,0.6,172
Qwen2.5-3B,mathfull,4,0.7,175
Qwen2.5-3B,mathfull,4,0.8,157
Qwen2.5-3B,mathfull,4,0.9,150
Qwen2.5-3B,mathfull,4,1.0,146
Qwen2.5-3B,mathfull,4,1.1,167
Qwen2.5-3B,mathfull,4,1.2,206
Qwen2.5-3B,mathfull,8,0.1,2946
Qwen2.5-3B,mathfull,8,0.2,244
Qwen2.5-3B,mathfull,8,0.3,222
Qwen2.5-3B,mathfull,8,0.4,165
Qwen2.5-3B,mathfull,8,0.5,194
Qwen2.5-3B,mathfull,8,0.6,169
Qwen2.5-3B,mathfull,8,0.7,156
Qwen2.5-3B,mathfull,8,0.8,160
Qwen2.5-3B,mathfull,8,0.9,151
Qwen2.5-3B,mathfull,8,1.0,135
Qwen2.5-3B,mathfull,8,1.1,168
Qwen2.5-3B,mathfull,8,1.2,255
Qwen2.5-3B,mathfull,16,0.1,3114
Qwen2.5-3B,mathfull,16,0.2,234
Qwen2.5-3B,mathfull,16,0.3,179
Qwen2.5-3B,mathfull,16,0.4,169
