model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,gsm8kfull,L1,901,64,0.6,0.996,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.7,0.995,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.8,0.994,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.9,0.993,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,1.0,0.993,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,1.1,0.987,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,1.2,0.927,0.004,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.1,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.2,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.3,0.997,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.4,0.997,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.5,0.997,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.6,0.996,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.7,0.995,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.8,0.994,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,0.9,0.995,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,1.0,0.993,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,1.1,0.99,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,128,1.2,0.927,0.004,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.1,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.2,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.3,0.997,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.4,0.997,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.5,0.997,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.6,0.996,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.7,0.995,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.8,0.995,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,0.9,0.995,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,1.0,0.994,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,1.1,0.989,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,256,1.2,0.927,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.1,0.715,0.033,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.2,0.651,0.049,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.3,0.648,0.038,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.4,0.626,0.039,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.5,0.626,0.049,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.6,0.656,0.085,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.7,0.618,0.054,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.8,0.618,0.047,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,0.9,0.573,0.059,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,1.0,0.524,0.047,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,1.1,0.5,0.056,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,1,1.2,0.363,0.058,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.1,0.715,0.033,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.2,0.651,0.049,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.3,0.648,0.038,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.4,0.626,0.039,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.5,0.626,0.049,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.6,0.656,0.085,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.7,0.618,0.054,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.8,0.618,0.047,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,0.9,0.573,0.059,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,1.0,0.524,0.047,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,1.1,0.5,0.056,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,2,1.2,0.363,0.058,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.1,0.844,0.044,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.2,0.788,0.03,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.3,0.79,0.034,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.4,0.785,0.027,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.5,0.731,0.052,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.6,0.78,0.045,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.7,0.734,0.038,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.8,0.739,0.039,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,0.9,0.712,0.077,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,1.0,0.704,0.039,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,1.1,0.626,0.039,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,4,1.2,0.481,0.03,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.1,0.93,0.029,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.2,0.871,0.029,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.3,0.863,0.031,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.4,0.844,0.018,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.5,0.839,0.036,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.6,0.836,0.025,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.7,0.831,0.024,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.8,0.833,0.024,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,0.9,0.823,0.036,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,1.0,0.79,0.046,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,1.1,0.72,0.022,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,8,1.2,0.548,0.036,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.1,0.978,0.022,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.2,0.938,0.022,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.3,0.914,0.012,markdown,gsm8kfull
