model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.8,L1,8,0.9789790286139188,0.0004839996718745,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,16,0.9865478176042668,0.0003045860839304,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,32,0.9898345975420302,0.000136971408474,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,64,0.990952182832321,0.0002091936857494,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,128,0.9914832285150906,0.0002397372618041,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,256,0.9917290973033628,7.72027015560192e-05,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,512,0.9917337218185116,0.0001188323537474,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,1024,0.9917406585319722,8.847172664915398e-05,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,1536,0.9917175360799216,7.547985373611425e-05,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,2048,0.9918562708015282,4.885355478382732e-05,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,1,0.8807667429278814,0.001659667895378,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,2,0.884332225243504,0.0009854920195785,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,4,0.954006352727696,0.0012745587174989,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,8,0.976563040523704,0.0004994803031142,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,16,0.9852817860289668,0.0003253299222678,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,32,0.9888491955150952,0.0002538324552361,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,64,0.9906539031725806,0.0002748364310459,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,128,0.991166450888817,0.0002406943000048,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,256,0.9914601060561492,8.368498060537386e-05,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,512,0.991299019642884,0.0001388503061285,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,1024,0.9912943951179152,7.535224588587841e-05,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,1536,0.9912088420293754,5.385100649667576e-05,901
Llama-3.2-3B,gsm8kfull,T0.9,L1,2048,0.9911903440628422,4.559288774500399e-05,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,1,0.858865152360183,0.0011762543812323,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,2,0.8642526836586889,0.0013751592894415,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,4,0.9455681979915322,0.0007981777290169,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,8,0.9732483705397884,8.12431860541197e-05,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,16,0.9837169352887164,0.0006076247000026,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,32,0.9885504533832358,0.0002500621750386,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,64,0.9902031694627096,0.0002380911316274,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,128,0.9909837835124145,0.0001418043652796,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,256,0.9914839992722096,0.0001432174107058,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,512,0.991470125798085,0.0001970652034542,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,1024,0.991231964485216,0.0001353641490341,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,1536,0.9910793562757028,7.848021075122835e-05,901
Llama-3.2-3B,gsm8kfull,T1.0,L1,2048,0.9909290603065364,8.343330880679422e-05,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,1,0.821503886297315,0.0016462148055751,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,2,0.8273631158852318,0.0019236991682757,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,4,0.9268617456692058,0.0007107551399147,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,8,0.9628894112229311,0.0005710937466445,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,16,0.976202599694446,0.0005442391351373,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,32,0.9820951259892422,0.0003839797167308,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,64,0.9843252868142808,0.000305352990743,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,128,0.9851052843492866,0.0002666919003454,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,256,0.9856201443375686,0.0002280910287628,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,512,0.985668701471508,0.000105292241533,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,1024,0.9858675545751304,0.0001812423173729,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,1536,0.9859438586650712,0.0001533421670186,901
Llama-3.2-3B,gsm8kfull,T1.1,L1,2048,0.9860455974915124,0.0001418671281308,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,1,0.7208287090892086,0.0012240982248464,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,2,0.7321702738039616,0.0013817433589924,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,4,0.8444124619244614,0.0012208156617947,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,8,0.8912490441455617,0.0003599252330616,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,16,0.912041020143434,0.0010194182549444,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,32,0.9203157762352886,0.0006115431636113,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,64,0.9230068445037204,0.000777739983145,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,128,0.9236727711192292,0.0006981910498757,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,256,0.922958287078635,0.0004605840600761,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,512,0.9231039586351564,0.0004664184106759,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,1024,0.9232010728966608,0.0003784857015023,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,1536,0.9228958564838364,0.000357566200751,901
Llama-3.2-3B,gsm8kfull,T1.2,L1,2048,0.9228935442607172,0.0003224401658166,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,1,0.9843923418423982,0.0004937865422091,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,2,0.9740612282648904,0.000520554236458,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,4,0.98819136145024,0.0004200631928633,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,8,0.9917830496978662,0.0001933660502319,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,16,0.9945781693180415,0.000197441499595,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,32,0.995462603280306,0.0001846421418396,901
