model,dataset,stratum,N,acc_t1p0_mean,acc_t1p0_std,acc_t0p1_mean,acc_t0p1_std,acc_random_t_mean
Phi-4-mini-instruct,math500,L4,2048,0.460089869578095,0.0024627987525072,0.4260620915671822,0.0014514002501074,0.5156454250940846
Phi-4-mini-instruct,math500,L5,1,0.099456522292075,0.0035812792735948,0.0494867155332892,0.0035747057891632,0.0885265708005658
Phi-4-mini-instruct,math500,L5,2,0.1099486717817054,0.0030515639144457,0.052913647495966,0.001864637170227,0.0953502417238348
Phi-4-mini-instruct,math500,L5,4,0.1257221243042804,0.0025481630483063,0.0461805564545967,0.0021540923790326,0.102048109675834
Phi-4-mini-instruct,math500,L5,8,0.1454468609406365,0.0030356759835366,0.0430421848046921,0.0014027504831809,0.1127639760992687
Phi-4-mini-instruct,math500,L5,16,0.1558193088869636,0.0030984076077121,0.0417396848105177,0.0022314978231669,0.1184036606868756
Phi-4-mini-instruct,math500,L5,32,0.1594227110072273,0.0032493711791495,0.039959598936091,0.0021719326017589,0.1213395132158505
Phi-4-mini-instruct,math500,L5,64,0.1611408015256432,0.002249626290372,0.0408776169609062,0.0028244650290378,0.1270375406546158
Phi-4-mini-instruct,math500,L5,128,0.1587962964988327,0.0022750291685199,0.0420264695424604,0.0015178648141422,0.125566123105734
Phi-4-mini-instruct,math500,L5,256,0.1577948875914233,0.0011249427314979,0.0405797101388536,0.0021056618642954,0.1252994159830437
Phi-4-mini-instruct,math500,L5,512,0.1576992756279932,0.0016829309455779,0.0397342996590811,0.0012066723097633,0.125830314181754
Phi-4-mini-instruct,math500,L5,1024,0.1567632850453005,0.0007101509629376,0.038526569985771,0.0008135381459691,0.1270531400023613
Phi-4-mini-instruct,math500,L5,1536,0.1553442029300447,0.0006680827472968,0.0375603866102038,0.000933747502794,0.126640498879982
Phi-4-mini-instruct,math500,L5,2048,0.156249999952759,0.0001718628847284,0.0379528986089885,0.0006778364160147,0.1246527775285252
