model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.3,L3,2,0.5584201373470327,0.0096018099459409,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,4,0.688085937872529,0.0082502174442229,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,8,0.7738284387418792,0.0047137511590422,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,16,0.8262514491669005,0.0086911124340015,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,32,0.8534866907996022,0.0041250140642172,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,64,0.8584056719684869,0.0026954018545122,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,128,0.8625868064797638,0.0055942124526395,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,256,0.8590277778890191,0.0043906794203164,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,512,0.8569010418464638,0.0029497291027266,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,1024,0.8529947916977106,0.0024691564367747,48
Llama-3.2-3B,gsm8kfull,T0.3,L3,1536,0.8542534722364508,0.0020081937613839,48
Llama-3.2-3B,gsm8kfull,T0.3,L4,1,0.4280128192681914,0.0123973091142845,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,2,0.4309615373420409,0.0047402968308153,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,4,0.5179914542115651,0.0039196327058736,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,8,0.582163692652606,0.0083828335577436,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,16,0.6280898762413133,0.0064815363833332,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,32,0.6581453015383046,0.0040335183956024,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,64,0.6737820523743255,0.0033517734992856,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,128,0.6811217954239019,0.0047235801333845,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,256,0.6877243597155962,0.0059128485176098,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,512,0.6911538464160493,0.0046979786277608,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,1024,0.6941025642128901,0.0029257748897509,65
Llama-3.2-3B,gsm8kfull,T0.3,L4,1536,0.6917948714385812,0.0019861454620506,65
Llama-3.2-3B,gsm8kfull,T0.3,L5,1,0.1622481690651495,0.0019684918762629,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,2,0.1654761902588818,0.0015410758453622,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,4,0.1578697357676418,0.0026765822164089,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,8,0.1587849962326779,0.0019125069620248,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,16,0.1593664373627662,0.0026029475951202,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,32,0.1574783062194764,0.0021768135019141,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,64,0.1577426744292357,0.0015526329464593,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,128,0.1550576163049882,0.001580705524605,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,256,0.1564560444000426,0.0020466573790015,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,512,0.1542811356706633,0.0013863876515166,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,1024,0.1539491759092912,0.0007394017126178,182
Llama-3.2-3B,gsm8kfull,T0.3,L5,1536,0.1538804945784993,0.0013617272581192,182
Llama-3.2-3B,gsm8kfull,T0.3,overall,1,0.7782392701211573,0.004211811617519,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,2,0.779993045388829,0.0027864220001122,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,4,0.8176868053013236,0.0022115762857057,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,8,0.8348116230913466,0.0024231270546198,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,16,0.8433500424555045,0.0026023725979723,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,32,0.8466924544293398,0.0019807109611771,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,64,0.8478339738541968,0.0012851832596977,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,128,0.8480058184177846,0.0017801154520429,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,256,0.8483820218405581,0.0018402549236214,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,512,0.8483455882647837,0.0013494837893542,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,1024,0.8484681372759764,0.0009628504435959,1258
Llama-3.2-3B,gsm8kfull,T0.3,overall,1536,0.8484283916330906,0.0008515622690528,1258
Llama-3.2-3B,gsm8kfull,T0.4,L1,1,0.9379069573716944,0.0011347675421985,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,2,0.9384688320499062,0.0007228817309938,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,4,0.9765110533454332,0.0005848304426045,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,8,0.9887079562670736,0.0004310602571021,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,16,0.9928667224739316,0.0002807603635503,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,32,0.994170828812862,0.0001385727748189,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,64,0.994612467619775,0.0001386422283531,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,128,0.9947396411394748,8.615713224164914e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,256,0.9946402145747428,7.27090034469953e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,512,0.99454310026035,5.1662003446379806e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,1024,0.994480669626272,3.964675361018349e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,1536,0.9944691083983518,2.265528837663847e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L2,1,0.6333333321957179,0.0090404155003941,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,2,0.6367943546864935,0.006076213374769,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,4,0.7709061396458456,0.0045643760478156,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,8,0.8457479726483105,0.0066575745656986,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,16,0.8836525552305243,0.004953680067684,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,32,0.8997423854125763,0.0030712922783572,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,64,0.8992943552633128,0.0037669796530961,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,128,0.9038978495149405,0.002170189077999,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,256,0.9057795702059184,0.0017972593547655,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,512,0.9085349461804796,0.0014179945230492,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,1024,0.9108198924210444,0.0019657688989296,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,1536,0.9121303763841428,0.0011575924200075,62
Llama-3.2-3B,gsm8kfull,T0.4,L3,1,0.5507812500517402,0.0097369368314765,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,2,0.5519097210425469,0.0079955420627731,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,4,0.6809244808585694,0.0072492125014162,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,8,0.773716623480949,0.0070194865527713,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,16,0.8176605928327061,0.0073287726303337,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,32,0.8439597821076555,0.004950993811451,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,64,0.8523437505516793,0.0040745015266811,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,128,0.8570312505762557,0.003240067864785,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,256,0.8603298616492085,0.0029355166380386,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,512,0.8631076390027173,0.0046312209773487,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,1024,0.866753472532663,0.0040700604281391,48
Llama-3.2-3B,gsm8kfull,T0.4,L3,1536,0.8651041669525309,0.0030010126389938,48
Llama-3.2-3B,gsm8kfull,T0.4,L4,1,0.4551282056153584,0.0062334592349093,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,2,0.4562820518437105,0.0041950722742411,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,4,0.5588141026214147,0.010894249545046,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,8,0.6359615417627188,0.0059176061149536,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,16,0.6915087539272813,0.0047615889505125,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,32,0.7223386763404003,0.0056004684693845,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,64,0.7391794875526849,0.0048061276208391,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,128,0.7568376069291473,0.0043159010328818,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,256,0.7625961547598051,0.0008136226972724,65
